Date,ASIANPAINT,HDFCBANK,ITC,RELIANCE,TCS
2017-04-06,1039.3966064453125,685.0685424804688,219.59645080566406,692.1705932617188,1046.0682373046875
2017-04-07,1035.6192626953125,685.2353515625,218.4347686767578,676.821044921875,1058.7081298828125
2017-04-10,1012.9072265625,682.9970092773438,219.15579223632812,664.6714477539062,1055.7442626953125
2017-04-11,1025.6258544921875,685.5448608398438,225.96559143066406,660.3407592773438,1054.4591064453125
2017-04-12,1023.6654052734375,687.5450439453125,225.8454132080078,651.5112915039062,1043.1044921875
2017-04-13,1031.17236328125,685.9259033203125,223.6422576904297,656.7079467773438,1014.9483642578125
2017-04-17,1013.0507202148438,684.259033203125,223.60218811035156,669.7236938476562,1008.93408203125
2017-04-18,994.9766235351562,689.2595825195312,223.56214904785156,659.3063354492188,1006.2967529296875
2017-04-19,1003.0572509765625,690.069091796875,223.28176879882812,658.6326904296875,1002.0909423828125
2017-04-20,1012.52490234375,696.3316650390625,223.92262268066406,658.9935302734375,1013.5756225585938
2017-04-21,1018.8839721679688,712.738037109375,219.79672241210938,674.8482055664062,1007.16845703125
2017-04-24,1023.1871337890625,730.0969848632812,221.71946716308594,682.0177001953125,1014.7091064453125
2017-04-25,1049.9158935546875,732.001953125,225.36477661132812,689.4279174804688,1007.4737548828125
2017-04-26,1056.37060546875,738.478759765625,233.05584716796875,681.5606689453125,1006.9727783203125
2017-04-27,1057.0404052734375,747.0272216796875,228.9699249267578,678.2164306640625,1003.6163940429688
2017-04-28,1071.480224609375,736.5023193359375,222.72093200683594,671.3357543945312,990.7587280273438
2017-05-02,1063.4949951171875,733.6925659179688,223.6823272705078,659.4746704101562,998.0592041015625
2017-05-03,1069.9979248046875,735.4546508789062,222.12005615234375,659.2581787109375,1018.7188720703125
2017-05-04,1083.09912109375,730.9303588867188,225.28460693359375,653.4119262695312,1015.580810546875
2017-05-05,1096.678466796875,729.692138671875,222.03997802734375,639.1209716796875,1011.3964233398438
2017-05-08,1116.3302001953125,730.9303588867188,218.67507934570312,635.8248291015625,1020.96337890625
2017-05-09,1114.3702392578125,731.3827514648438,217.51341247558594,640.1314697265625,1025.3656005859375
2017-05-10,1107.6756591796875,739.0264282226562,219.4762420654297,653.9652099609375,1016.60498046875
2017-05-11,1115.4698486328125,736.4547729492188,221.6393585205078,654.1818237304688,1024.01416015625
2017-05-12,1083.4339599609375,738.9549560546875,220.27743530273438,649.802978515625,1028.8956298828125
2017-05-15,1097.8741455078125,739.7883911132812,222.68084716796875,646.74755859375,1030.83544921875
2017-05-16,1092.901123046875,742.7647705078125,227.0872039794922,652.617919921875,1058.7518310546875
2017-05-17,1104.4722900390625,741.5742797851562,225.6451416015625,651.0781860351562,1070.171142578125
2017-05-18,1101.0296630859375,741.5504760742188,222.6407928466797,638.6879272460938,1105.40966796875
2017-05-19,1074.0621337890625,743.5267944335938,229.29039001464844,634.5980224609375,1092.7484130859375
